tier,toDelegate,ens_name,proposal_link,proposal_type,proposal_id,proposal_description,rn
Tier 4,0xefbc53e0afdc9f649bc1ab692461df57e70a560f,wowdrama.eth,"<a href=""https://vote.optimism.io/proposals/25353629475948605098820168047140307200589226219380649297323431722674892706917"" target=""_blank"">To Read More</a>",Single-Choice Proposal,25353629475948605098820168047140307200589226219380649297323431722674892706917,"#  Code of Conduct Violation: Carlos Melgar
All active delegates, badgeholders, Citizens, and grant recipients (""Optimists"") are bound by the [Code of Conduct](https://gov.optimism.io/t/code-of-conduct/5751). Severe code of conduct violations are subject to a three month suspension and are decided via Token House vote.

This Code of Conduct Suspension Proposal is eligible for voting in Voting Cycle #16a: <https://gov.optimism.io/t/code-of-conduct-violation-carlos-melgar/6882/9>
",1
Tier 1,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,lindajxie.eth,"<a href=""https://vote.optimism.io/proposals/95102633290576253416299445955061077431090693890673037767791097228222587378331"" target=""_blank"">To Read More</a>",Single-Choice Proposal,95102633290576253416299445955061077431090693890673037767791097228222587378331,"# Ratify Developer Advisory Board Members
The initial Developer Advisory Board will be comprised of seven members, one of which will be a non-voting member of OP Labs engineering, and a DAB Lead. The Lead will manage general coordination and operations and will be a non-voting member. If approved, the Foundation will appoint the below members:

-   Board Lead: [Brock](https://twitter.com/brockjelmore)

-   Board Member: [Philogy ](https://twitter.com/real_philogy)

-   Board Member (forfeiting compensation): [Noah](https://twitter.com/NoahCitron)

-   Board Member: [Zach](https://twitter.com/zachobront)

-   Board Member: [Roman](https://twitter.com/r_krasiuk)

-   Board Member: [Jepsen ](https://twitter.com/0xjepsen)

-   OP Labs Representative (non-voting): [Kelvin](https://twitter.com/kelvinfichter)

All members will be subject to the [Code of Conduct](https://gov.optimism.io/t/code-of-conduct/5751).

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/developer-advisory-board/6892>
",1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/23645858735980247449510302520189443998369792603230659191221949690963680987113"" target=""_blank"">To Read More</a>",Single-Choice Proposal,23645858735980247449510302520189443998369792603230659191221949690963680987113,"# Chain Delegation Program
The Chain Delegation Program would temporarily delegate a portion of idle OP from the Governance Fund to value-aligned OP Chains. If this proposal is approved by the Token House, a total of 10M OP would be reserved for delegation across as many as 10 OP Chains. Delegations will be made throughout Season 5 and 6, as Chains qualify.

This proposal is eligible for Special Voting Cycle #16b: 
<https://gov.optimism.io/t/chain-delegation-program/6896>
",1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/27439950952007920118525230291344523079212068327713298769307857575418374325849"" target=""_blank"">To Read More</a>",Single-Choice Proposal,27439950952007920118525230291344523079212068327713298769307857575418374325849,"# Security Council: Vote #1
This proposal requires a vote to approve Phase 0's addition of the Security Council as a signer on a 2/2 multisig that controls protocol upgrades for OP Mainnet. This does not require any protocol changes, but as this represents a fundamental change to OP Mainnet's security model, it should be approved by the Token House. This is one of three votes required to fully implement the Security Council as outlined here: <https://gov.optimism.io/t/intro-to-optimisms-security-council/6885>


This vote requires a 76% approval threshold. The value displayed by the frontend may differ.

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/security-council-vote-1-change-to-security-model/6886>
",1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/51738314696473345172141808043782330430064117614433447104828853768775712054864"" target=""_blank"">To Read More</a>",Single-Choice Proposal,51738314696473345172141808043782330430064117614433447104828853768775712054864,# Intent #1 Budget Proposal \n Season 4 lays the groundwork to align the entire community around Collective Intents. Intents are directional goals that allow the Collective to align and focus. Intent #1 is: Progress Towards Technical Decentralization. The Foundation has set this Intent and proposed a budget of 1M OP to support Proposed Missions in Season 4. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/collective-intents/5874#intent-1-progress-towards-technical-decentralization-2](https://gov.optimism.io/t/collective-intents/5874#intent-1-progress-towards-technical-decentralization-2),1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/114732572201709734114347859370226754519763657304898989580338326275038680037913"" target=""_blank"">To Read More</a>",Single-Choice Proposal,114732572201709734114347859370226754519763657304898989580338326275038680037913,"Upgrade Proposal: Bedrock - This proposal outlines the Optimism Collective’s first Protocol upgrade of Optimism Mainnet to the Bedrock release. This upgrade aims to provide unprecedented modularity, simplicity, and Ethereum equivalence to the L2 network, with positive impacts on performance and security. Bedrock is the codebase which will help Optimism stand the test of time, and is also preparatory step towards the multi-chain future. - This Protocol Upgrade proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/final-upgrade-proposal-bedrock-v2/5548",1
Tier 4,0x010dc5440ad49f9ec0dd325b622d9fd225944ee4,0xdonpepe.eth,"<a href=""https://vote.optimism.io/proposals/10572947036210533292634221606922807092762967787561796032397523909369599512554"" target=""_blank"">To Read More</a>",Single-Choice Proposal,10572947036210533292634221606922807092762967787561796032397523909369599512554,"# Proposal to Reclassify Grant Misusage Enforcement
The Foundation proposes two changes to eliminate delegate responsibility for grant misusage enforcement. This proposal is based on strong feedback from delegates that they do not wish to vote on enforcement actions and instead transfers this responsibility to the elected Token House Code of Conduct Council. 

This proposal is eligible for Voting Cycle #17: 
<https://gov.optimism.io/t/proposal-to-reclassify-grant-misusage-enforcement/7384>",1
Tier 4,0x183b55b55127d35d3424e838aad045692045a144,nokia3310.eth,"<a href=""https://vote.optimism.io/proposals/94365805422398770067924881378455503928423439630602149628781926844759467250082"" target=""_blank"">To Read More</a>",Single-Choice Proposal,94365805422398770067924881378455503928423439630602149628781926844759467250082,# Intent #3 Budget Proposal \n Season 4 lays the groundwork to align the entire community around Collective Intents. Intents are directional goals that allow the Collective to align and focus. Intent #3 is: Spread Awareness of the Optimistic Vision. The Foundation has selected this Intent from commnunity suggestions and proposed a budget of 1M OP to support Proposed Missions in Season 4. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/collective-intents/5874#intent-3-spread-awareness-of-the-optimistic-vision-4](https://gov.optimism.io/t/collective-intents/5874#intent-3-spread-awareness-of-the-optimistic-vision-4),1
Tier 4,0xc6ffe8c026ed057a087c5f2484e00c94776e75a9,kxxxxx.eth,"<a href=""https://vote.optimism.io/proposals/110376471005925230990107796624328147348746431603727026291575353089698990280147"" target=""_blank"">To Read More</a>",Single-Choice Proposal,110376471005925230990107796624328147348746431603727026291575353089698990280147,"# Protocol Upgrade #4
This upgrade, proposed by OP Labs, introduces a new L1 contract, the SuperchainConfig, along with improvements to the existing pause mechanism.The proposed upgrade takes the current incident response mechanism a step further, introducing a Superchain-wide pause mechanism that can enhance protection across multiple fronts, including the L1CrossDomainMessenger and withdrawals for ERC-20 and ERC-721 tokens, which are additional security critical code paths that protect user assets.

If this vote passes, the L1 contracts which support the OP Mainnet network will be upgraded to the versions of those contracts in the optimism repo at commit 856c08b (tagged as release candidate op-contracts/v1.2.0-rc.1).


This proposal is eligible for Voting Cycle #18: 
<https://gov.optimism.io/t/upgrade-Request-4/7534>",1
Tier 4,0xb2df17c297467d9f3806626009adc2471a8c3eb1,cipherchest.eth,"<a href=""https://vote.optimism.io/proposals/47253113366919812831791422571513347073374828501432502648295761953879525315523"" target=""_blank"">To Read More</a>",Single-Choice Proposal,47253113366919812831791422571513347073374828501432502648295761953879525315523,"# Protocol Upgrade #6: Multi-Chain Prep (MCP) L1
Upgrade proposal: MCP - This protocol upgrade strengthens the security and upgradeability of the Superchain by enabling L1 contracts to be upgraded atomically across multiple chains in a single transaction. This upgrade also extends the SystemConfig to contain the addresses of the contracts in the network, allowing users to discover the system’s contract addresses programmatically.
The upgrade is code complete as of commit [e6ef3a900c42c8722e72c2e2314027f85d12ced5](https://github.com/ethereum-optimism/optimism/commit/e6ef3a900c42c8722e72c2e2314027f85d12ced5) ([release](https://github.com/ethereum-optimism/optimism/releases/tag/op-contracts%2Fv1.3.0-rc.1) and [tag](https://github.com/ethereum-optimism/optimism/tree/op-contracts/v1.3.0-rc.1)) in the Optimism monorepo.

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-6-multi-chain-prep-mcp-l1/7677>

If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",1
Tier 4,0xc16b76c25b60e5970ace61c719ca263133ccc1b3,daofu.eth,"<a href=""https://vote.optimism.io/proposals/51738314696473345172141808043782330430064117614433447104828853768775712054864"" target=""_blank"">To Read More</a>",Single-Choice Proposal,51738314696473345172141808043782330430064117614433447104828853768775712054864,# Intent #1 Budget Proposal \n Season 4 lays the groundwork to align the entire community around Collective Intents. Intents are directional goals that allow the Collective to align and focus. Intent #1 is: Progress Towards Technical Decentralization. The Foundation has set this Intent and proposed a budget of 1M OP to support Proposed Missions in Season 4. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/collective-intents/5874#intent-1-progress-towards-technical-decentralization-2](https://gov.optimism.io/t/collective-intents/5874#intent-1-progress-towards-technical-decentralization-2),1
Tier 4,0xefbc53e0afdc9f649bc1ab692461df57e70a560f,wowdrama.eth,"<a href=""https://vote.optimism.io/proposals/114732572201709734114347859370226754519763657304898989580338326275038680037913"" target=""_blank"">To Read More</a>",Single-Choice Proposal,114732572201709734114347859370226754519763657304898989580338326275038680037913,"Upgrade Proposal: Bedrock - This proposal outlines the Optimism Collective’s first Protocol upgrade of Optimism Mainnet to the Bedrock release. This upgrade aims to provide unprecedented modularity, simplicity, and Ethereum equivalence to the L2 network, with positive impacts on performance and security. Bedrock is the codebase which will help Optimism stand the test of time, and is also preparatory step towards the multi-chain future. - This Protocol Upgrade proposal is eligible for voting in Voting Cycle #11: https://gov.optimism.io/t/final-upgrade-proposal-bedrock-v2/5548",1
Tier 4,0xefbc53e0afdc9f649bc1ab692461df57e70a560f,wowdrama.eth,"<a href=""https://vote.optimism.io/proposals/64861580915106728278960188313654044018229192803489945934331754023009986585740"" target=""_blank"">To Read More</a>",Single-Choice Proposal,64861580915106728278960188313654044018229192803489945934331754023009986585740,"# Upgrade Proposal #3: Delta Network Upgrade 
This upgrade (“Delta”) contains a single consensus-layer feature, Span Batches.

The code for the Delta upgrade is ready in the following Optimism monorepo hash: 54a7dbf8aa9b982f9c6a54cbbe448be41c0b7bc7 

Test in Prod proposes 00:00:00 Feb 22, 2024, UTC for the Delta hard fork time—1707922800 in Unix Timestamp. 

This proposal is eligible for Voting Cycle #17: 
<https://gov.optimism.io/t/ready-to-vote-upgrade-proposal-3-delta-network-upgrade/7310>",1
Tier 1,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,lindajxie.eth,"<a href=""https://vote.optimism.io/proposals/11595556248137084019024264942104169821784001997050285438055123196153848845549"" target=""_blank"">To Read More</a>",Single-Choice Proposal,11595556248137084019024264942104169821784001997050285438055123196153848845549,"# Season 5 Intent Budgets
The Intents for Season 5 and their budgets proposed by the Grants Council Lead are:

-   Intent #1: Progress Towards Technical Decentralization
    -   Proposed budget: 1.33M OP

-   Intent #2: Grow the Superchain
    -   Proposed budget: 4M OP

-   Intent #3: Improve the Consumer Experience
    -   Proposed budget: 1.33M OP

-   Intent #4: Improve Governance Accessibility
    -   Proposed budget: 1.33M OP

-   Unallocated Budget: 1M reserved for general allocation

Total Intents Budget: up to 9M OP

Any budget that is not allocated under these Intent will be returned to the Governance Fund.

This proposal is eligible for Special Voting Cycle #16b:
<https://gov.optimism.io/t/season-5-intents-budget-proposal/7040>
",1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/80982553847843251343725022866904947381762263529096361834044805234222094077710"" target=""_blank"">To Read More</a>",Single-Choice Proposal,80982553847843251343725022866904947381762263529096361834044805234222094077710,"# Inflation Adjustment Proposal
Inflation of the OP token is set to 2% per year by default. This inflation parameter can be adjusted by governance. This proposal would reduce inflation in Year 2 to 0%.

This Season 4 proposal is eligible for voting in Special Voting Cycle #12b: [https://gov.optimism.io/t/draft-inflation-adjustment-proposal-to-0/5936](https://gov.optimism.io/t/draft-inflation-adjustment-proposal-to-0/5936).",1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/94365805422398770067924881378455503928423439630602149628781926844759467250082"" target=""_blank"">To Read More</a>",Single-Choice Proposal,94365805422398770067924881378455503928423439630602149628781926844759467250082,# Intent #3 Budget Proposal \n Season 4 lays the groundwork to align the entire community around Collective Intents. Intents are directional goals that allow the Collective to align and focus. Intent #3 is: Spread Awareness of the Optimistic Vision. The Foundation has selected this Intent from commnunity suggestions and proposed a budget of 1M OP to support Proposed Missions in Season 4. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/collective-intents/5874#intent-3-spread-awareness-of-the-optimistic-vision-4](https://gov.optimism.io/t/collective-intents/5874#intent-3-spread-awareness-of-the-optimistic-vision-4),1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/11595556248137084019024264942104169821784001997050285438055123196153848845549"" target=""_blank"">To Read More</a>",Single-Choice Proposal,11595556248137084019024264942104169821784001997050285438055123196153848845549,"# Season 5 Intent Budgets
The Intents for Season 5 and their budgets proposed by the Grants Council Lead are:

-   Intent #1: Progress Towards Technical Decentralization
    -   Proposed budget: 1.33M OP

-   Intent #2: Grow the Superchain
    -   Proposed budget: 4M OP

-   Intent #3: Improve the Consumer Experience
    -   Proposed budget: 1.33M OP

-   Intent #4: Improve Governance Accessibility
    -   Proposed budget: 1.33M OP

-   Unallocated Budget: 1M reserved for general allocation

Total Intents Budget: up to 9M OP

Any budget that is not allocated under these Intent will be returned to the Governance Fund.

This proposal is eligible for Special Voting Cycle #16b:
<https://gov.optimism.io/t/season-5-intents-budget-proposal/7040>
",1
Tier 4,0x183b55b55127d35d3424e838aad045692045a144,nokia3310.eth,"<a href=""https://vote.optimism.io/proposals/96868135958111078064987938855232246504506994378309573614627090826820561655088"" target=""_blank"">To Read More</a>",Multi-Choice Proposal,96868135958111078064987938855232246504506994378309573614627090826820561655088,"# Grants Council Reviewer Elections: Milestones and Metrics
Following the approval of the Grants Council Operating Budget, the Token House will elect 3 Reviewers to the Milestones and Metrics sub-committee.

This vote will utilize approval voting. Voting is set up such that you can place a vote for any number of nominees. In the case of approval/ranked choice votes, delegates may vote for themselves, so long as they also cast votes for the remaining elected positions.

Candidates:

-   [Ocandocrypto](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/12?u=marcus)

-   [Mmurthy](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/13?u=marcus)

-   [Feiwian](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/17?u=marcus)

-   [Juanbug_PGov ](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/19)

-   [Srijith](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/20)

-   [Raho ](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/25)

-   [LauNaMu](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/28)

-   [Chain_L](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/29)

-   [v3naru_Curia](https://gov.optimism.io/t/grants-council-reviewer-nominations-season-5/6900/34)

This proposal is eligible for voting in Special Voting Cycle #16b.
",1
Tier 4,0x183b55b55127d35d3424e838aad045692045a144,nokia3310.eth,"<a href=""https://vote.optimism.io/proposals/80982553847843251343725022866904947381762263529096361834044805234222094077710"" target=""_blank"">To Read More</a>",Single-Choice Proposal,80982553847843251343725022866904947381762263529096361834044805234222094077710,"# Inflation Adjustment Proposal
Inflation of the OP token is set to 2% per year by default. This inflation parameter can be adjusted by governance. This proposal would reduce inflation in Year 2 to 0%.

This Season 4 proposal is eligible for voting in Special Voting Cycle #12b: [https://gov.optimism.io/t/draft-inflation-adjustment-proposal-to-0/5936](https://gov.optimism.io/t/draft-inflation-adjustment-proposal-to-0/5936).",1
Tier 4,0xc6ffe8c026ed057a087c5f2484e00c94776e75a9,kxxxxx.eth,"<a href=""https://vote.optimism.io/proposals/114318499951173425640219752344574142419220609526557632733105006940618608635406"" target=""_blank"">To Read More</a>",Multi-Choice Proposal,114318499951173425640219752344574142419220609526557632733105006940618608635406,"# Summary of Code of Conduct enforcement decisions
The elected Token House Code of Conduct Council’s decisions are subject to optimistic approval by the Token House. That means the Council’s decisions are assumed to be approved unless 12% of the votable supply in the Token House votes to veto an enforcement action. You should only cast a vote if you want to override the decisions made by the Council. If this proposal is veto-d, the enforcement actions will go to a full Token House vote. 

This proposal is eligible for Voting Cycle #17: 
<https://gov.optimism.io/t/code-of-conduct-council-communication-thread/7453> ",1
Tier 4,0xb2df17c297467d9f3806626009adc2471a8c3eb1,cipherchest.eth,"<a href=""https://vote.optimism.io/proposals/95119698597711750186734377984697814101707190887694311194110013874163880701970"" target=""_blank"">To Read More</a>",Single-Choice Proposal,95119698597711750186734377984697814101707190887694311194110013874163880701970,"# Protocol Upgrade #5: Ecotone Network Upgrade
This is a proposal for the Ecotone network upgrade, which adopts EIP-4844 blobs for data availability and activates Dencun L1 extensions. The remaining changes in this upgrade bring the core improvements from the L1 Dencun hardfork into the OP stack, including new opcodes and the beacon root support. While blob data availability requires L1 Dencun activation, the Ecotone upgrade can be activated independently of it.

If this vote passes, the Ecotone upgrade will be scheduled for execution on March 14th at 00:00:01 UTC. 

The upgrade will occur automatically for nodes on a release which contains the baked in activation time. Ecotone is code complete in the optimism monorepo at commit f707883038d527cbf1e9f8ea513fe33255deadbc and op-geth at commit 0402d543c3d0cff3a3d344c0f4f83809edb44f10. 

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-5-ecotone-network-upgrade/7669>


If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",1
Tier 4,0x4646870d5379936f95220fba9cd2d4d17ab2e18e,mn141913.eth,"<a href=""https://vote.optimism.io/proposals/22387138384033903985192420283570655912990907953544385753324581204637906644383"" target=""_blank"">To Read More</a>",Single-Choice Proposal,22387138384033903985192420283570655912990907953544385753324581204637906644383,"# Anticapture Commission
Season 5 introduces an Anticapture Commission, comprised of the highest impact delegates. The Anticapture Commission will have a mandate to represent the interests of individual delegates as a key stakeholder group, and to prevent capture of the Token House by any one stakeholder group. If approved by the Token House, the Anticapture Commission would be delegated 10M OP from the Governance Fund in Season 5 and 6.

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/anticapture-commission/6889>
",1
Tier 4,0x4646870d5379936f95220fba9cd2d4d17ab2e18e,mn141913.eth,"<a href=""https://vote.optimism.io/proposals/67269789039629895178640755758170247888863792004069768037736283616310331965838"" target=""_blank"">To Read More</a>",Single-Choice Proposal,67269789039629895178640755758170247888863792004069768037736283616310331965838,"# Developer Advisory Board Budget
Given the need for Optimism governance to make good technical decisions, the Foundation is proposing the establishment of a Developer Advisory Board to assess Missions and grant milestones under Intent #1. The Foundation proposes an initial budget of 12,500 OP per Advisory Board Member (excluding the OP Labs representative and a DAB member who will forego their tokens) and 20,000 OP for the Advisory Board Lead, for a total budget of 70,000 OP to be dispersed out of the Governance Fund at the end of Season 5.


This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/developer-advisory-board/6892>
",1
Tier 4,0xc16b76c25b60e5970ace61c719ca263133ccc1b3,daofu.eth,"<a href=""https://vote.optimism.io/proposals/94365805422398770067924881378455503928423439630602149628781926844759467250082"" target=""_blank"">To Read More</a>",Single-Choice Proposal,94365805422398770067924881378455503928423439630602149628781926844759467250082,# Intent #3 Budget Proposal \n Season 4 lays the groundwork to align the entire community around Collective Intents. Intents are directional goals that allow the Collective to align and focus. Intent #3 is: Spread Awareness of the Optimistic Vision. The Foundation has selected this Intent from commnunity suggestions and proposed a budget of 1M OP to support Proposed Missions in Season 4. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/collective-intents/5874#intent-3-spread-awareness-of-the-optimistic-vision-4](https://gov.optimism.io/t/collective-intents/5874#intent-3-spread-awareness-of-the-optimistic-vision-4),1
Tier 4,0x197f8a140cac23d8f01132018d549bae07536249,<nil>,"<a href=""https://vote.optimism.io/proposals/85591583404433237270543189567126336043697987369929953414380041066767718361144"" target=""_blank"">To Read More</a>",Single-Choice Proposal,85591583404433237270543189567126336043697987369929953414380041066767718361144,"# Ratify Security Council Members
If approved, the below members, appointed by the Optimism Foundation, will serve an initial term on the Optimism Security Council:

Cohort A (12 month initial term)
Kris Kaczor (Phoenix Labs)
Layne Haber (Connext)
Jon Charbonneau (DBA)
Alisha.eth (Glowworm Foundation, former ENS)
Mariano Conti (Independent, former MakerDAO)
Martin Tellechea (The Graph Foundation)
Yoseph Ayele (Borderless Africa)
Cohort B (18 month initial term)
OP Labs PBC
Yoav Weiss (Ethereum Foundation)
Test in Prod
Kain Warwick (Synthetix)
Coinbase Technologies, Inc. (Base)
Elena Nadolinkski (Ironfish)
L2Beat
Alejandro Santander (Independent, former Synthetix)

A Council Lead will be appointed by the Foundation at a later date. 

This proposal is eligible for Special Voting Cycle #16c
https://gov.optimism.io/t/security-council-vote-2-initial-member-ratification/7118",1
Tier 4,0xefbc53e0afdc9f649bc1ab692461df57e70a560f,wowdrama.eth,"<a href=""https://vote.optimism.io/proposals/46755965320953291432113738397437466520155684451527981335363452666080752126186"" target=""_blank"">To Read More</a>",Single-Choice Proposal,46755965320953291432113738397437466520155684451527981335363452666080752126186,"# Intent 2 Budget Proposal 2
The Grants Council manages Intent #2: Innovate on Novel Applications. The original Council Intent Budget was approved at the start of Season 4. [https://gov.optimism.io/t/draft-season-4-council-intent-budget-proposal/5925](https://gov.optimism.io/t/draft-season-4-council-intent-budget-proposal/5925) 

This proposal requests the remaining budgets approved for Intent 1, Intent 3, and Intent 4 be allocated to Intent 2 as a budget increase rather than returned to the Governance Fund for the remainder of the Season. 

This proposal is eligible for voting in Voting Cycle 14 : [https://gov.optimism.io/t/final-intent-2-budget-proposal-2/6559](https://gov.optimism.io/t/final-intent-2-budget-proposal-2/6559)",1
Tier 1,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,lindajxie.eth,"<a href=""https://vote.optimism.io/proposals/25353629475948605098820168047140307200589226219380649297323431722674892706917"" target=""_blank"">To Read More</a>",Single-Choice Proposal,25353629475948605098820168047140307200589226219380649297323431722674892706917,"#  Code of Conduct Violation: Carlos Melgar
All active delegates, badgeholders, Citizens, and grant recipients (""Optimists"") are bound by the [Code of Conduct](https://gov.optimism.io/t/code-of-conduct/5751). Severe code of conduct violations are subject to a three month suspension and are decided via Token House vote.

This Code of Conduct Suspension Proposal is eligible for voting in Voting Cycle #16a: <https://gov.optimism.io/t/code-of-conduct-violation-carlos-melgar/6882/9>
",1
Tier 1,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,lindajxie.eth,"<a href=""https://vote.optimism.io/proposals/112047914448178129124907599845371359974256142096707624346739203514792263033877"" target=""_blank"">To Read More</a>",Single-Choice Proposal,112047914448178129124907599845371359974256142096707624346739203514792263033877,"# Ratification of Law of Chains
The Law of Chains is an open neutrality framework that establishes certain protections for participants in the Superchain ecosystem. Its purpose is to promote core principles of user protection, decentralization and economic autonomy as foundations for the developing Superchain. The Token House will ratify this foundational governing document.

This proposal is eligible for Special Voting Cycle #16b:
<https://gov.optimism.io/t/ratification-law-of-chains/7049>
",1
Tier 1,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,lindajxie.eth,"<a href=""https://vote.optimism.io/proposals/67269789039629895178640755758170247888863792004069768037736283616310331965838"" target=""_blank"">To Read More</a>",Single-Choice Proposal,67269789039629895178640755758170247888863792004069768037736283616310331965838,"# Developer Advisory Board Budget
Given the need for Optimism governance to make good technical decisions, the Foundation is proposing the establishment of a Developer Advisory Board to assess Missions and grant milestones under Intent #1. The Foundation proposes an initial budget of 12,500 OP per Advisory Board Member (excluding the OP Labs representative and a DAB member who will forego their tokens) and 20,000 OP for the Advisory Board Lead, for a total budget of 70,000 OP to be dispersed out of the Governance Fund at the end of Season 5.


This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/developer-advisory-board/6892>
",1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/103695324913424597802389181312722993037601032681914451632412140667432224173014"" target=""_blank"">To Read More</a>",Single-Choice Proposal,103695324913424597802389181312722993037601032681914451632412140667432224173014,# Intent #4 Budget Proposal \n Season 4 lays the groundwork to align the entire community around Collective Intents. Intents are directional goals that allow the Collective to align and focus. Intent #4 is: Governance Accessibility. The Foundation has set this Intent and proposed a budget of 3M OP to support Proposed Missions in Season 4. Any budget that is not allocated to Missions under this Intent will be returned to the Governance Fund. This Season 4 proposal is eligible for voting in Special Voting Cycle #12a: [https://gov.optimism.io/t/collective-intents/5874#intent-4-governance-accessibility-6](https://gov.optimism.io/t/collective-intents/5874#intent-4-governance-accessibility-6),1
Tier 2,0x429f9ada43e9f345cbb85ec88681bb70df808892,polynya.eth,"<a href=""https://vote.optimism.io/proposals/26993004599223263087505603454119723751877285713239446072681254755783718227511"" target=""_blank"">To Read More</a>",Single-Choice Proposal,26993004599223263087505603454119723751877285713239446072681254755783718227511,"# Code of Conduct Council Budget
Season 5 will further decentralize the Foundation's role in processing violations of the Code of Conduct and remove enforcement responsibility from Token House delegates. Accordingly, the Foundation will authorize a Token House Code of Conduct Council, according to the [Council Framework](https://gov.optimism.io/t/council-framework-and-renewal/5884). The Council will be comprised of five members and a Council Lead. The Foundation proposes an initial budget of 3,000 OP per Code of Conduct Council member, for a total of 18,000 OP to be dispersed out of the Governance Fund at the end of Season 5.

This proposal is eligible for Special Voting Cycle #16a: <https://gov.optimism.io/t/code-of-conduct-councils/6888>
",1
Tier 4,0x010dc5440ad49f9ec0dd325b622d9fd225944ee4,0xdonpepe.eth,"<a href=""https://vote.optimism.io/proposals/95119698597711750186734377984697814101707190887694311194110013874163880701970"" target=""_blank"">To Read More</a>",Single-Choice Proposal,95119698597711750186734377984697814101707190887694311194110013874163880701970,"# Protocol Upgrade #5: Ecotone Network Upgrade
This is a proposal for the Ecotone network upgrade, which adopts EIP-4844 blobs for data availability and activates Dencun L1 extensions. The remaining changes in this upgrade bring the core improvements from the L1 Dencun hardfork into the OP stack, including new opcodes and the beacon root support. While blob data availability requires L1 Dencun activation, the Ecotone upgrade can be activated independently of it.

If this vote passes, the Ecotone upgrade will be scheduled for execution on March 14th at 00:00:01 UTC. 

The upgrade will occur automatically for nodes on a release which contains the baked in activation time. Ecotone is code complete in the optimism monorepo at commit f707883038d527cbf1e9f8ea513fe33255deadbc and op-geth at commit 0402d543c3d0cff3a3d344c0f4f83809edb44f10. 

This proposal is eligible for Voting Cycle #19: 
<https://gov.optimism.io/t/upgrade-proposal-5-ecotone-network-upgrade/7669>


If passed in the Token House, it will proceed to a veto period in the Citizens’ House. 
",1
